text,metadata
"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI  
2022
SMA/MA KELAS XIIEKONOMIEKONOMI","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 0, 'id': 'Ekonomi_0'}"
"Hak Cipta pada Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi Republik Indonesia
Dilindungi Undang-Undang
Penafian: Buku ini disiapkan oleh Pemerintah dalam rangka pemenuhan kebutuhan buku 
pendidikan yang bermutu, murah, dan merata sesuai dengan amanat dalam UU No. 3 Tahun 2017. 
Buku ini disusun dan ditelaah oleh berbagai pihak di bawah koordinasi Kementerian Pendidikan, 
Kebudayaan, Riset, dan Teknologi. Buku ini merupakan dokumen hidup yang senantiasa 
diperbaiki, diperbarui, dan dimutakhirkan sesuai dengan dinamika kebutuhan dan perubahan 
zaman. Masukan dari berbagai kalangan yang dialamatkan kepada penulis atau melalui alamat 
surel buku@kemdikbud.go.id diharapkan dapat meningkatkan kualitas buku ini.
Ekonomi untuk SMA/MA Kelas XII 
Penulis
Aisyah Nurjanah 
Yeni Fitriani 
Penelaah
Regina Niken Wilantari
Fiktor Piawai
Penyelia/Penyelaras
Supriyatno
Lenny Puspita Ekawaty
Anggraeni Dian Permatasari
Galuh Ayu Mungkashi
Kontributor
Kasmadi
Nany Lidya
Ilustrator
Febrilia Syahputri
Editor
Ria Nita Fatimah
Desainer
Muhammad Nichal Zaki
Penerbit
Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi
Dikeluarkan oleh:
Pusat Perbukuan  
Kompleks Kemdikbudristek Jalan RS. Fatmawati, Cipete, Jakarta Selatan  
https://buku.kemdikbud.go.id
Cetakan pertama, 2022
ISBN 978-602-244-851-8 (no.jil.lengkap)
ISBN 978-602-427-972-1 (jil.2)
Isi buku ini menggunakan huruf Noto Serif 12/18 pt, Steve Matteson.
xii, 220 hlm,: 17,6 cm × 25 cm.","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 1, 'id': 'Ekonomi_1'}"
"iiiKata Pengantar
Pusat Perbukuan; Badan Standar, Kurikulum, dan Asesmen Pendidikan; 
Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi memiliki tugas 
dan fungsi mengembangkan buku pendidikan pada satuan Pendidikan Anak 
Usia Dini, Pendidikan Dasar, dan Pendidikan Menengah, termasuk Pendidikan 
Khusus. Buku yang dikembangkan saat ini mengacu pada Kurikulum Merdeka. 
Kurikulum ini memberikan keleluasaan bagi satuan/program pendidikan dalam 
mengimplementasikan kurikulum dengan prinsip diversifikasi sesuai dengan 
kondisi satuan pendidikan, potensi daerah, dan peserta didik.
Pemerintah dalam hal ini Pusat Perbukuan mendukung implementasi 
Kurikulum Merdeka di satuan pendidikan dengan mengembangkan buku siswa 
dan buku panduan guru sebagai buku teks utama. Buku ini dapat menjadi salah 
satu referensi atau inspirasi sumber belajar yang dapat dimodifikasi, dijadikan 
contoh, atau rujukan dalam merancang dan mengembangkan pembelajaran 
sesuai karakteristik, potensi, dan kebutuhan peserta didik. 
Adapun acuan penyusunan buku teks utama adalah Pedoman Penerapan 
Kurikulum dalam rangka Pemulihan Pembelajaran yang ditetapkan melalui 
Keputusan Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi No. 262/M/2022 
Tentang Perubahan atas Keputusan Mendikbudristek No. 56/M/2022 Tentang 
Pedoman Penerapan Kurikulum dalam rangka Pemulihan Pembelajaran, serta 
Keputusan Kepala Badan Standar, Kurikulum, dan Asesmen Pendidikan Nomor 
033/H/KR/2022 tentang Perubahan Atas Keputusan Kepala Badan Standar, 
Kurikulum, dan Asesmen Pendidikan Kementerian Pendidikan, Kebudayaan, 
Riset, dan Teknologi Nomor 008/H/KR/2022 tentang Capaian Pembelajaran pada 
Pendidikan Anak Usia Dini, Jenjang Pendidikan Dasar, dan Jenjang Pendidikan 
Menengah pada Kurikulum Merdeka. 
Sebagai dokumen hidup, buku ini tentu dapat diperbaiki dan disesuaikan 
dengan kebutuhan dan perkembangan keilmuan dan teknologi. Oleh karena itu, 
saran dan masukan dari para guru, peserta didik, orang tua, dan masyarakat 
sangat dibutuhkan untuk pengembangan buku ini di masa yang akan datang. Pada 
kesempatan ini, Pusat Perbukuan menyampaikan terima kasih kepada semua 
pihak yang telah terlibat dalam penyusunan buku ini, mulai dari penulis, penelaah, 
editor, ilustrator, desainer, dan kontributor terkait lainnya. Semoga buku ini dapat 
bermanfaat khususnya bagi peserta didik dan guru dalam meningkatkan mutu 
pembelajaran.
Jakarta, Desember 2022
Kepala Pusat,
Supriyatno
NIP 196804051988121001","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 2, 'id': 'Ekonomi_2'}"
"iv 
Prakata
Puji dan syukur senantiasa kita panjatkan kehadirat Tuhan Yang Maha 
Esa, atas terbitnya Buku Siswa Ekonomi untuk Kelas XII ini. 
Ilmu ekonomi yang dipelajari khususnya di kelas XII yang berada 
pada satu fase dengan ekonomi kelas XI masih berpusat pada ekonomi 
makro, yaitu pada materi pertumbuhan dan pembangunan ekonomi, 
kegiatan ekonomi internasional, APBN, dan APBD juga materi 
akuntansi.
Buku pelajaran ekonomi kelas XII menjadi salah satu alternatif 
sumber belajar bagi peserta didik. Dimana materi yang disajikan dalam 
buku teks ini sudah disesuaikan dengan capaian pembelajaran dari 
pendekatan merdeka belajar, peserta didik diarahkan mengembangkan 
kemampuan berpikir tingkat tinggi atau higher order thinking skill 
(HOTS) dalam aktivitas pembelajaran.
Semoga adanya buku ini, dapat membantu peserta didik maupun 
guru dalam melaksanakan pembelajaran di kelas agar peserta didik 
mampu memahami materi ekonomi dan berhasil dalam mencapai 
tujuan pembelajaran dengan menerapkan pembelajaran yang 
berprinsip pada profil pelajar Pancasila, sehingga bisa berdampak 
pada peningkatan kualitas pendidikan di Indonesia.
Tentunya dalam penyusunan buku ini pasti terdapat kekurangan. 
Kritik dan saran yang konstruktif sangat diharapkan oleh penulis untuk 
perbaikan ke depannya.
Jakarta, Oktober 2022
Penulis","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 3, 'id': 'Ekonomi_3'}"
"v
Daftar Isi
Kata Pengantar ................................................................................................  iii
Prakata ...............................................................................................................  iv
Daftar Isi ............................................................................................................  v
Daftar Gambar .................................................................................................  vii
Daftar Tabel ......................................................................................................  ix
Petunjuk Penggunaan Buku  .........................................................................  x
Bab 1
Pertumbuhan dan Pembangunan Ekonomi ........................................  1
A. Pertumbuhan Ekonomi ..........................................................................  4
B. Pembangunan Ekonomi .........................................................................  15
C. Ekonomi Digital  .......................................................................................  24
Bab 2 
Ekonomi Internasional .............................................................................  39
A. Konsep dan Manfaat Perdagangan Internasional ..........................  42
B. Faktor Pendorong dan Penghambat dalam Perdagangan 
Internasional  .............................................................................................  46
C. Teori Perdagangan Internasional  .......................................................  52
D. Kebijakan Perdagangan Internasional  ..............................................  54
E. Neraca Pembayaran ................................................................................  63
F. Kerja Sama Ekonomi Internasional  ....................................................  70","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 4, 'id': 'Ekonomi_4'}"
"vi 
Bab 3
APBN dan APBD ..........................................................................................  91
A. APBN ...........................................................................................................  94
B. APBD ............................................................................................................  105
C. Perpajakan .................................................................................................  116
Bab 4
Akuntansi .....................................................................................................  133
A. Persamaan Dasar Akuntansi ................................................................  136
B. Laporan Keuangan ..................................................................................  170
Glosarium ..........................................................................................................  198
Daftar Pustaka .................................................................................................  208
Daftar Kredit Gambar  ...................................................................................  211
Indeks .................................................................................................................  212
Profil Pelaku Perbukuan ...............................................................................  214","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 5, 'id': 'Ekonomi_5'}"
"vii
Daftar Gambar
Gambar 1.1  Kegiatan produksi di sebuah pabrik  ................................  4
Gambar 1.2  Pembangunan jalan tol .......................................................  15
Gambar 1.3  Pendidikan sebagai upaya peningkatan kualitas  
sumber daya manusia  .........................................................  23
Gambar 1.4  Penggunaan QRIS sebagai kegiatan ekonomi digital  .. 24
Gambar 2.1  Ponsel merupakan salah satu contoh barang yang 
diperdagangkan di kegiatan perdagangan  
internasional ..........................................................................  42
Gambar 2.2  Contoh barang yang diekspor dari Indonesia ...............  45
Gambar 2.3  Contoh neraca perdagangan ..............................................  68
Gambar 2.4  Kantor kedutaan AS untuk Indonesia di Jakarta  ..........  70
Gambar 2.5  Indonesia dan Malaysia merupakan contoh  
negara yang melakukan kerja sama bilateral ...............  71
Gambar 3.1  Vaksinasi Covid-19  ...............................................................  94
Gambar 3.2  Pembangunan jalan merupakan salah satu  
penerapan fungsi pajak  .......................................................  116
Gambar 3.3  Penerimaan calon aparatur sipil negara (ASN) 
merupakan salah satu bentuk perluasan  
lapangan kerja  ......................................................................  118
Gambar 4.1  Laporan keuangan perusahaan  ........................................  136
Gambar 4.2  Contoh nota belanja  .............................................................  147
Gambar 4.3  Contoh memo .........................................................................  148
Gambar 4.4  Contoh kuitansi ......................................................................  148
Gambar 4.5  Contoh cek ...............................................................................  149","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 6, 'id': 'Ekonomi_6'}"
"viii 
Gambar 4.6  Contoh nota kontan ..............................................................  149
Gambar 4.7  Bukti transaksi faktur ..........................................................  150
Gambar 4.8  Contoh nota debit  ..................................................................  151
Gambar 4.9  Contoh nota kredit ................................................................  152","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 7, 'id': 'Ekonomi_7'}"
"ix
Daftar Tabel
Tabel 2.1 Barang Produksi Negara Lain ............................................ 43
Tabel 2.2  Jenis Transaksi dalam Neraca Pembayaran .................. 63
Tabel 4.1  Jenis Transaksi dalam Persamaan Dasar Akuntansi ...154
Tabel 4.2  Pengaruh Transaksi dalam Persamaan Dasar  
Akuntansi ................................................................................ 154","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 8, 'id': 'Ekonomi_8'}"
"x 
Petunjuk  
Penggunaan Buku
Materi ekonomi yang dipelajari khususnya di kelas XII berpusat pada 
kajian ekonomi makro, kajian tersebut meliputi pertumbuhan dan 
pembanguna ekonomi, kerjasama internasional, APBN dan APBD, serta 
akuntansi. Melalui pembelajaran ekonomi, kalian dilatih untuk mampu 
menganalisis dan memecahkan suatu permasalahan yang terjadi di 
kehidupan sehari-hari. 
Buku teks pelajaran ekonomi ini dirancang dengan berbagai lembar 
aktivitas yang bisa mengasah kemampuan berfikir kritis dan analisis, 
kemampuan memecahkan masalah dan pengambilan keputusan serta 
mengembangkan keterampilan proses. 
Buku ini terdiri dari 5 bab dengan bagian-bagian sebagai berikut.
1. Cover bab
BAB 1 — PERTUMBUHAN DAN  PEMBANGUNAN EKONOMI    ●   1
BAB 1Pertumbuhan dan  
Pembangunan Ekonomi
 🎯🎯 Tujuan Pembelajaran
Dalam bab ini, kalian akan mempelajari pertumbuhan dan 
pembangunan ekonomi. Setelah pembelajaran, kalian diharapkan 
mampu menjelaskan konsep pertumbuhan dan pembangunan 
ekonomi serta menganalisis fenomena pertumbuhan, dan 
pembangunan ekonomi di Indonesia. KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET, DAN TEKNOLOGI  
REPUBLIK INDONESIA, 2022
Buku Siswa Ekonomi Kelas XII
Penulis: 'Aisyah Nurjanah dan Yeni Fitriani
ISBN xxx-xxx-xxxx-xx-x
Menunjukan ilustrasi yang menggambarkan 
materi yang akan kalian pelajari di bab 
tersebut.
2. Tujuan pembelajaran
Berisi tujuan pembelajaran yang harus 
kalian capai setelah mempelajari materi 
pada masing-masing bab.","{'source': '../data/raw\\Ekonomi_BS_KLS_XII.pdf', 'page': 9, 'id': 'Ekonomi_9'}"
