text,metadata
"KEMENTERIAN PENDIDIKAN, KEBUDAYAAN, RISET , DAN TEKNOLOGI
2022
SMA/MA Kelas XIIGEOGRAFI","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 0, 'id': 'Geografi_0'}"
"Hak Cipta pada Kementerian Pendidikan, Kebudayaan, Riset , dan Teknologi 
Republik Indonesia.
Dilindungi Undang-Undang.
Penafian: Buku ini disiapkan oleh Pemerintah dalam rangka pemenuhan kebutuhan 
buku pendidikan yang bermutu, murah, dan merata sesuai dengan amanat 
dalam UU No. 3 Tahun 2017. Buku ini disusun dan ditelaah oleh berbagai pihak 
di bawah koordinasi Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi. 
Buku ini merupakan dokumen hidup yang senantiasa diperbaiki, diperbarui, dan 
dimutakhirkan sesuai dengan dinamika kebutuhan dan perubahan zaman. Masukan 
dari berbagai kalangan yang dialamatkan kepada penulis atau melalui alamat surel 
buku@kemdikbud.go.id diharapkan dapat meningkatkan kualitas buku ini.
Geografi untuk SMA/MA Kelas XII
Penulis
Budi Handoyo
Penelaah
Wangsa Jaya
Ode Sofyan Hardi
Penyelia/Penyelaras
Supriyatno  
Lenny Puspita Ekawati  
NPM Yuliarti Dewi  
Kartika
Kontributor
Siti Indriani  
Rendi Nugroho
Editor
Rudi Norman Permana
Ilustrator/Desainer
Hasbi Yusuf
Penerbit
Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi 
Dikeluarkan oleh:
Pusat Perbukuan
Kompleks Kemdikbudristek Jalan RS. Fatmawati, Cipete, Jakarta Selatan 
https://buku.kemdikbud.go.id
Cetakan Pertama, 2022
ISBN 978-602-244-845-7 (no.jil.lengkap)
ISBN 978-602-427-914-1 (jil.2)
Isi buku ini menggunakan huruf Noto Serif/Noto San 10-16 pt,  Steve Matteson
xii, 276 hlm., 17,6 x 25 cm.","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 1, 'id': 'Geografi_1'}"
"iiiKata Pengantar
Pusat Perbukuan; Badan Standar, Kurikulum, dan Asesmen Pendidikan; 
Kementerian Pendidikan, Kebudayaan, Riset, dan Teknologi memiliki tugas 
dan fungsi mengembangkan buku pendidikan pada satuan Pendidikan Anak 
Usia Dini, Pendidikan Dasar, dan Pendidikan Menengah, termasuk Pendidikan 
Khusus. Buku yang dikembangkan saat ini mengacu pada Kurikulum Merdeka. 
Kurikulum ini memberikan keleluasaan bagi satuan/program pendidikan dalam 
mengimplementasikan kurikulum dengan prinsip diversifikasi sesuai dengan 
kondisi satuan pendidikan, potensi daerah, dan peserta didik.
Pemerintah dalam hal ini Pusat Perbukuan mendukung implementasi 
Kurikulum Merdeka di satuan pendidikan dengan mengembangkan buku siswa 
dan buku panduan guru sebagai buku teks utama. Buku ini dapat menjadi salah 
satu referensi atau inspirasi sumber belajar yang dapat dimodifikasi, dijadikan 
contoh, atau rujukan dalam merancang dan mengembangkan pembelajaran 
sesuai karakteristik, potensi, dan kebutuhan peserta didik. 
Adapun acuan penyusunan buku teks utama adalah Pedoman Penerapan 
Kurikulum dalam rangka Pemulihan Pembelajaran yang ditetapkan melalui 
Keputusan Menteri Pendidikan, Kebudayaan, Riset, dan Teknologi No. 
262/M/2022 Tentang Perubahan atas Keputusan Mendikbudristek No. 
56/M/2022 Tentang Pedoman Penerapan Kurikulum dalam rangka Pemulihan 
Pembelajaran, serta Keputusan Kepala Badan Standar, Kurikulum, dan Asesmen 
Pendidikan Nomor 033/H/KR/2022 tentang Perubahan Atas Keputusan Kepala 
Badan Standar, Kurikulum, dan Asesmen Pendidikan Kementerian Pendidikan, 
Kebudayaan, Riset, dan Teknologi Nomor 008/H/KR/2022 tentang Capaian 
Pembelajaran pada Pendidikan Anak Usia Dini, Jenjang Pendidikan Dasar, dan 
Jenjang Pendidikan Menengah pada Kurikulum Merdeka. 
Sebagai dokumen hidup, buku ini tentu dapat diperbaiki dan disesuaikan 
dengan kebutuhan dan perkembangan keilmuan dan teknologi. Oleh karena 
itu, saran dan masukan dari para guru, peserta didik, orang tua, dan masyarakat 
sangat dibutuhkan untuk pengembangan buku ini di masa yang akan datang. 
Pada kesempatan ini, Pusat Perbukuan menyampaikan terima kasih kepada 
semua pihak yang telah terlibat dalam penyusunan buku ini, mulai dari penulis, 
penelaah, editor, ilustrator, desainer, dan kontributor terkait lainnya. Semoga 
buku ini dapat bermanfaat khususnya bagi peserta didik dan guru dalam 
meningkatkan mutu pembelajaran.
Jakarta, Desember 2022
Kepala Pusat,
Supriyatno
NIP 196804051988121001","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 2, 'id': 'Geografi_2'}"
"ivPrakata
Rasa syukur kami panjatkan kepada Tuhan Yang Maha Esa atas karunia yang 
dilimpahkan sehingga buku ini dapat hadir dan menjadi bentuk nyata partisipasi 
kami dalam membangun negeri melalui dunia pendidikan. Buku Teks Pelajaran 
Geografi untuk SMA/MA Kelas XII disusun untuk mempelajari Geografi dengan 
Capaian Pembelajaran pada fase F dan disertai dengan penguatan nilai-nilai 
Profil Pelajar Pancasila.  
Buku Teks Pelajaran Geografi untuk SMA/MA Kelas XII berupaya untuk 
dapat menyajikan materi yang dapat menumbuhkembangkan kemampuan 
berpikir tingkat tinggi, kritis, kreatif, solutif, dan kolaboratif. Selain itu, buku ini 
mengarahkan peserta didik menggunakan kotak konsep dan soal-soal yang 
melatih dan mengukur kemampuan berpikir tingkat tinggi, kritis, kreatif, dan 
pemecahan masalah. Buku ini disajikan secara sederhana dan komunikatif agar 
memudahkan peserta didik dalam mempelajari isi buku.
Terima kasih kepada Kementerian Pendidikan, Kebudayaan, Riset, dan 
Teknologi Republik Indonesia yang telah memberi kesempatan kepada 
kami untuk turut menyumbangkan pemikiran melalui buku ini. Kami juga 
mengucapkan terima kasih kepada para penelaah buku, fasilitator buku, editor, 
ilustrator, dan desainer yang telah bekerja sama dalam mewujudkan buku ini.
Kami berharap Buku Teks Pelajaran Geografi untuk SMA/MA Kelas XII dapat 
bermanfaat bagi peserta didik agar capaian pembelajaran fase F dapat terpenuhi 
di akhir pembelajaran serta tertanam nilai-nilai Profil Pelajar Pancasila. Dengan 
membaca dan mempelajari buku ini, kami berharap peserta didik semakin 
menyenangi Geografi dan merasakan manfaat belajar Geografi. 
      Malang, November 2022
      Penulis","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 3, 'id': 'Geografi_3'}"
"vDaftar Isi
Kata Pengantar ........................................................................................................... iii
Prakata  ........................................................................................................................ iv
Daftar Isi ....................................................................................................................... v
Daftar Gambar ........................................................................................................... vii
Petunjuk Penggunaan Buku  ...................................................................................... xi
Bab 1 Pengembangan Wilayah, Tata Ruang, dan 
Pengaruhnya terhadap Kebahagiaan  .................... 1
A. Pengembangan Wilayah  ....................................................................... 6
B. Pengembangan Desa dan Kota  ......................................................... 30
C. Tata Ruang dan Dinamikanya dalam Pembangunan Wilayah  .......63
D. Indeks Kebahagiaan sebagai Hasil  Pembangunan Wilayah .......... 75
E. Pengaruh Pengembangan Wilayah dan Tata Ruang terhadap 
Kebahagiaan Penduduk  ...................................................................... 82
Asesmen ........................................................................................ 86
Bab 2 Pembangunan Wilayah, Revolusi Industri, dan 
Pengaruhnya terhadap Ruang Muka Bumi dan 
Kesejahteraan  ......................................................... 93
A. Pengertian, Paradigma, Pendekatan, dan Indikator   
Pembangunan  ....................................................................................... 97
B. Revolusi Industri 4.0 dan Masyarakat 5.0  ........................................ 126
C. Kesejahteraan Penduduk sebagai Hasil Pembangunan ............... 140
D. Pengaruh Pembangunan Wilayah dan Revolusi Industri     
terhadap Kesejahteraan .................................................................... 148
Asesmen ...................................................................................... 152","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 4, 'id': 'Geografi_4'}"
"viBab 3 Dinamika Kerja Sama Antarnegara dan 
Pengaruhnya terhadap Ketahanan Wilayah 
Indonesia ................................................................ 159
A. Kerja Sama Antarnegara .................................................................... 164
B. Geopolitik Indonesia sebagai Potensi Menjalin Kerja Sama 
Internasional ....................................................................................... 171
C. Kerja Sama Indonesia dalam Kancah Internasional  ..................... 175
D. Pengaruh Kerja Sama Antarnegara terhadap Ketahanan       
Wilayah sebagai Pilar Ketahanan Nasional  ..................................... 235
Asesmen ...................................................................................... 243
Glosarium ................................................................................................................. 249
Daftar Pustaka .......................................................................................................... 251
Kredit Gambar .......................................................................................................... 268
Indeks  ..................................................................................................................... 270
Profil Pelaku Perbukuan ......................................................................................... 272","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 5, 'id': 'Geografi_5'}"
"viiDaftar Gambar
Gambar 1.1 Salah Satu Sudut Kota  ......................................................................... 4
Gambar 1.2 Infografis Bab 1 ................................................................................... 5
Gambar 1.3 Peta Indonesia ..................................................................................... 6
Gambar 1.4 Suasana perkotaan dan perdesaan .................................................. 7
Gambar 1.5 Wilayah pertanian dan wilayah industri  ........................................... 7
Gambar 1.6 Wilayah Nodal Jabodetabek ............................................................... 8
Gambar 1.7 Wilayah perencanaan ......................................................................... 9
Gambar 1.8 Perwilayahan yang dilandasi oleh data penduduk yang   
terbanyak di Indonesia. .................................................................... 10
Gambar 1.9 Perwilayahan fungsional kawasan Gerbangkertosusila. ............. 11
Gambar 1.10 Pembangunan kawasan ekonomi hijau di Kalimantan Utara.    
Dari wilayah pertanian dikembangkan menjadi wilayah     
ekonomi hijau. ................................................................................... 11
Gambar 1.11 Teori Lokasi Von Thunen  .................................................................. 18
Gambar 1.12 Skema Penentuan Lokasi Optimum ................................................ 19
Gambar 1.13 Teori Lokasi Sentral ........................................................................... 20
Gambar 1.14 Kegiatan Utama di Pedesaan. .......................................................... 32
Gambar 1.15 Persentase Desa Berdasarkan Data Badan Pusat Statistik     
Tahun 2019.  ........................................................................................ 35
Gambar 1.16 Desa Swadaya .................................................................................... 37
Gambar 1.17 Desa Swakarya ................................................................................... 37
Gambar 1.18 Desa Swasembada ............................................................................ 38
Gambar 1.19 Potensi fisik desa, potensi sumber daya manusia desa, dan 
kelembagaan desa yang kolaboratif. .............................................. 41
Gambar 1.20 Diagram Desa Tertinggal Tahun 2019–2022 .................................. 42
Gambar 1.21 Persentase Tingkat Kemiskinan Tahun 2019-2022  ........................ 42
Gambar 1.22 Permasalahan desa: infrastruktur perlu perbaikan dan 
kemiskinan, serta urbanisasi menyebabkan tenaga          
potensial berpindah dari desa ke kota. .......................................... 43","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 6, 'id': 'Geografi_6'}"
"viiiGambar 1.23 Jakarta sebagai Kota Besar, Malang sebagai Kota Sedang,         
dan Kotawaringin Timur sebagai Kota Kecil .................................. 47
Gambar 1.24 Surabaya Kota Metropolitan, Merauke Kota Polisentris,             
dan Miangas Kota Monosentris ....................................................... 49
Gambar 1.25 Struktur Keruangan Kota Menurut Teori Konsentris. ................... 51
Gambar 1.26 Struktur Keruangan Kota Menurut Teori Sektoral ........................ 52
Gambar 1.27 Struktur Keruangan Kota Menurut Teori Inti Berganda ............... 53
Gambar 1.28 Pembangunan Kota dengan Paradigma Baru: Pejalan Kaki, 
Sepeda, Angkutan Umum, dan Angkutan Pribadi  ........................ 57
Gambar 1.29 Wilayah desa dan kota saling melengkapi pemenuhan  
kebutuhan penduduknya  ................................................................. 58
Gambar 1.30 Rencana Tata Ruang Wilayah Nasional  .......................................... 70
Gambar 1.31 Rencana Tata Ruang Wilayah Propinsi Sulawesi Tenggara .......... 73
Gambar 1.32 Rencana Tata Ruang Wilayah Kabupaten Lebak ........................... 74
Gambar 1.33 Dimensi dan Indikator Penyusun Indeks Kebahagiaan  ............... 77
Gambar 1.34 Peningkatan Indeks Kebahagiaan Penduduk Tahun 2017–      
2021  ..................................................................................................... 80
Gambar 1.35 Indeks Kebahagiaan Setiap Provinsi di Indonesia                     
Tahun 2017 dan 2021  ........................................................................ 81
Gambar 1.36 Bajo, Wakatobi ................................................................................... 83
Gambar 1.37  Perbedaan penataan ruang wilayah  ............................................... 84
Gambar 1.38  Peta Administrasi Jawa Tengah  ....................................................... 86
Gambar 1.39  Peta Kota Banda Aceh ....................................................................... 87
Gambar 1.40 Struktur Ruang Kota Banda Aceh  ..................................................... 88
Gambar 1.41 Wilayah Metropolitan ........................................................................ 89
Gambar 1.42 Interaksi Masyarakat Kota dan Desa .............................................. 90
Gambar 2.1 Jakarta Kota Terbaik Dunia dalam Inovasi Transportasi .............. 96
Gambar 2.3 Urbanisasi Jakarta ............................................................................ 101
Gambar 2.4 Program KB ...................................................................................... 103
Gambar 2.5 Kota Jakarta ...................................................................................... 106
Gambar 2.6 Kawasan Summarecon Kota Bekasi  .............................................. 107
Gambar 2.7 Pembangunan Berkelanjutan ........................................................ 109","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 7, 'id': 'Geografi_7'}"
"ixGambar 2.8 Konferensi Stockholm  ..................................................................... 111
Gambar 2.9 Kampung adat Bali Penglipuran & Bus Listrik Transjakarta  ..... 113
Gambar 2.10 Perkembangan Rasio Gini Indonesia Periode                           
Maret 2019 – Maret 2022  ................................................................ 120
Gambar 2.11 Demografi dan Urbanisasi Indonesia 2010-2045  ........................ 121
Gambar 2.12 Tompahnya minyak ke laut ............................................................ 122
Gambar 2.13 Mudik di Jembatan Suramadu  ....................................................... 123
Gambar 2.14 Pembangunan dan indikator kesejahteraan rakyat ................... 125
Gambar 2.15 Industri di Era Revolusi 1.0  ............................................................. 127
Gambar 2.16 Pabrik Mobil Ford ............................................................................ 127
Gambar 2.17 Komputer sebagai Teknologi Automasi ....................................... 129
Gambar 2.18 Perkembangan Revolusi Industri  .................................................. 130
Gambar 2.19 Tahapan Peradaban Manusia menurut Keidanren Jepang ........ 131
Gambar 2.20 Smart Home Sustainabilty ................................................................... 133
Gambar 2.21 Kota Cerdas ...................................................................................... 135
Gambar 2.22 Pendidikan Merupakan Salah Satu Indikator Indeks 
Kesejahteraan .................................................................................. 142
Gambar 2.23 IPM Indonesia Menurut Provinsi dan Status Pembangunan 
Manusia Tahun 2021  ....................................................................... 143
Gambar 2.24 Aset Kapital  ...................................................................................... 144
Gambar 2.25 Indikator Kesejahteraan Penduduk  .............................................. 146
Gambar 2.26 Kepadatan Penduduk di Beberapa Negara ................................. 147
Gambar 2.27 Tol Trans-Sumatera ......................................................................... 148
Gambar 2.29 Ilustrasi Soal Nomor 6 ..................................................................... 154
Gambar 2.29 Peta Rencana Lokasi Pembuatan PLTMH ..................................... 156
Gambar 3.1 Indonesia sebagai Tuan Rumah G20 ............................................ 162
Gambar 3.2 Dinamika Kerja sama Antarnegara dan Dampak bagi      
Indonesia .......................................................................................... 163
Gambar 3.3 Peta Negara-Negara pada Masa Perang Dingin ......................... 166
Gambar 3.4 Peta Dunia ........................................................................................ 167
Gambar 3.5 Peta Negara Anggota G20 .............................................................. 167","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 8, 'id': 'Geografi_8'}"
"xGambar 3.6 Peta Negara Indonesia ................................................................... 172
Gambar 3.7 Geopolitik Indonesia sebagai dasar dan kekuatan menjalin    
kerja sama internasional.  ............................................................... 174
Gambar 3.8 Peta Negara Malaysia  ..................................................................... 176
Gambar 3.9    Peta Negara Singapura ................................................................... 179
Gambar 3.10 Peta Negara Jepang ........................................................................ 182
Gambar 3.11 Peta Negara Tiongkok .................................................................... 185
Gambar 3.12 Peta Negara Korea Selatan  ............................................................ 187
Gambar 3.13 Peta Negara Kanada ....................................................................... 192
Gambar 3.14 Peta Negara Amerika Serikat ......................................................... 196
 Gambar 3.15 Peta Negara Brazil ........................................................................... 200
Gambar 3.16 Peta Britania Raya  ........................................................................... 203
Gambar 3.17 Peta Negara Jerman ........................................................................ 206
Gambar 3.18 Peta Negara Belanda ...................................................................... 209
Gambar 3.19 Peta Wilayah Australia .................................................................... 212
Gambar 3.20 Peta Negara-Negara Anggota ASEAN ........................................... 216
Gambar 3.21 Peta Negara-Negara Anggota G20 ................................................ 245","{'source': '../data/raw\\Geografi_BS_KLS_XII.pdf', 'page': 9, 'id': 'Geografi_9'}"
